Device: ID=1; Fw=16071801; Evt=2; Alarms: CoilRevesed=OFF; Power: Active=290W; Reactive=282var; Appearent=400VA; Line: Current=1.72A; Voltage=233.88V; Phase=-43,841rad; Peaks: 1060.000; 1051.000; 1041.000; 1059.000; 1054.000; 1058.000; 1051.000; 1049.000; 1057.000; 1047.000; FFT Re: -257863.00; 102815.00; -64043.00; 48516.00; 59599.00; -4223.00; -43441.00; 23559.00; -24518.00; FFT Img: 481910.00; -14891.00; 69871.00; -7130.00; 43860.00; 34204.00; 55951.00; -6945.00; 26131.00; UTC Time: 2016-10-4 16:47:50; hz: 49.87; WiFi Strength: -62; Dummy: 20
Device: ID=2; Fw=16071801; Evt=2; Alarms: CoilRevesed=OFF; Power: Active=274W; Reactive=282var; Appearent=407VA; Line: Current=1.84A; Voltage=232.57V; Phase=-43,841rad; Peaks: 1054.000; 1060.000; 1051.000; 1047.000; 1049.000; 1057.000; 1051.000; 1058.000; 1059.000; 1041.000; FFT Re: -257863.00; 102815.00; -64043.00; 48516.00; 59599.00; -4223.00; -43441.00; 23559.00; -24518.00; FFT Img: 481910.00; -14891.00; 69871.00; -7130.00; 43860.00; 34204.00; 55951.00; -6945.00; 26131.00; UTC Time: 2016-10-4 16:47:50; hz: 49.87; WiFi Strength: -62; Dummy: 20
Device: ID=3; Fw=16071801; Evt=2; Alarms: CoilRevesed=OFF; Power: Active=278W; Reactive=272var; Appearent=410VA; Line: Current=1.71A; Voltage=229.19V; Phase=-43,841rad; Peaks: 1060.000; 1041.000; 1047.000; 1057.000; 1051.000; 1058.000; 1054.000; 1051.000; 1049.000; 1059.000; FFT Re: -257863.00; 102815.00; -64043.00; 48516.00; 59599.00; -4223.00; -43441.00; 23559.00; -24518.00; FFT Img: 481910.00; -14891.00; 69871.00; -7130.00; 43860.00; 34204.00; 55951.00; -6945.00; 26131.00; UTC Time: 2016-10-4 16:47:50; hz: 49.87; WiFi Strength: -62; Dummy: 20
Device: ID=4; Fw=16071801; Evt=2; Alarms: CoilRevesed=OFF; Power: Active=284W; Reactive=266var; Appearent=401VA; Line: Current=1.76A; Voltage=227.92V; Phase=-43,841rad; Peaks: 1059.000; 1058.000; 1057.000; 1051.000; 1047.000; 1054.000; 1049.000; 1041.000; 1051.000; 1060.000; FFT Re: -257863.00; 102815.00; -64043.00; 48516.00; 59599.00; -4223.00; -43441.00; 23559.00; -24518.00; FFT Img: 481910.00; -14891.00; 69871.00; -7130.00; 43860.00; 34204.00; 55951.00; -6945.00; 26131.00; UTC Time: 2016-10-4 16:47:50; hz: 49.87; WiFi Strength: -62; Dummy: 20
Device: ID=5; Fw=16071801; Evt=2; Alarms: CoilRevesed=OFF; Power: Active=285W; Reactive=270var; Appearent=395VA; Line: Current=1.85A; Voltage=227.04V; Phase=-43,841rad; Peaks: 1051.000; 1059.000; 1058.000; 1060.000; 1049.000; 1051.000; 1047.000; 1054.000; 1041.000; 1057.000; FFT Re: -257863.00; 102815.00; -64043.00; 48516.00; 59599.00; -4223.00; -43441.00; 23559.00; -24518.00; FFT Img: 481910.00; -14891.00; 69871.00; -7130.00; 43860.00; 34204.00; 55951.00; -6945.00; 26131.00; UTC Time: 2016-10-4 16:47:50; hz: 49.87; WiFi Strength: -62; Dummy: 20
Device: ID=6; Fw=16071801; Evt=2; Alarms: CoilRevesed=OFF; Power: Active=278W; Reactive=282var; Appearent=398VA; Line: Current=1.72A; Voltage=228.26V; Phase=-43,841rad; Peaks: 1047.000; 1058.000; 1059.000; 1049.000; 1041.000; 1054.000; 1057.000; 1051.000; 1051.000; 1060.000; FFT Re: -257863.00; 102815.00; -64043.00; 48516.00; 59599.00; -4223.00; -43441.00; 23559.00; -24518.00; FFT Img: 481910.00; -14891.00; 69871.00; -7130.00; 43860.00; 34204.00; 55951.00; -6945.00; 26131.00; UTC Time: 2016-10-4 16:47:50; hz: 49.87; WiFi Strength: -62; Dummy: 20
Device: ID=7; Fw=16071801; Evt=2; Alarms: CoilRevesed=OFF; Power: Active=278W; Reactive=282var; Appearent=402VA; Line: Current=1.72A; Voltage=231.66V; Phase=-43,841rad; Peaks: 1049.000; 1051.000; 1060.000; 1058.000; 1051.000; 1057.000; 1047.000; 1054.000; 1059.000; 1041.000; FFT Re: -257863.00; 102815.00; -64043.00; 48516.00; 59599.00; -4223.00; -43441.00; 23559.00; -24518.00; FFT Img: 481910.00; -14891.00; 69871.00; -7130.00; 43860.00; 34204.00; 55951.00; -6945.00; 26131.00; UTC Time: 2016-10-4 16:47:50; hz: 49.87; WiFi Strength: -62; Dummy: 20
Device: ID=8; Fw=16071801; Evt=2; Alarms: CoilRevesed=OFF; Power: Active=289W; Reactive=265var; Appearent=403VA; Line: Current=1.81A; Voltage=231.51V; Phase=-43,841rad; Peaks: 1057.000; 1051.000; 1047.000; 1060.000; 1058.000; 1041.000; 1049.000; 1059.000; 1054.000; 1051.000; FFT Re: -257863.00; 102815.00; -64043.00; 48516.00; 59599.00; -4223.00; -43441.00; 23559.00; -24518.00; FFT Img: 481910.00; -14891.00; 69871.00; -7130.00; 43860.00; 34204.00; 55951.00; -6945.00; 26131.00; UTC Time: 2016-10-4 16:47:50; hz: 49.87; WiFi Strength: -62; Dummy: 20
Device: ID=9; Fw=16071801; Evt=2; Alarms: CoilRevesed=OFF; Power: Active=298W; Reactive=272var; Appearent=408VA; Line: Current=1.84A; Voltage=229.76V; Phase=-43,841rad; Peaks: 1057.000; 1041.000; 1058.000; 1051.000; 1059.000; 1049.000; 1060.000; 1047.000; 1051.000; 1054.000; FFT Re: -257863.00; 102815.00; -64043.00; 48516.00; 59599.00; -4223.00; -43441.00; 23559.00; -24518.00; FFT Img: 481910.00; -14891.00; 69871.00; -7130.00; 43860.00; 34204.00; 55951.00; -6945.00; 26131.00; UTC Time: 2016-10-4 16:47:50; hz: 49.87; WiFi Strength: -62; Dummy: 20
Device: ID=10; Fw=16071801; Evt=2; Alarms: CoilRevesed=OFF; Power: Active=280W; Reactive=280var; Appearent=410VA; Line: Current=1.84A; Voltage=227.55V; Phase=-43,841rad; Peaks: 1041.000; 1054.000; 1051.000; 1059.000; 1057.000; 1049.000; 1058.000; 1060.000; 1051.000; 1047.000; FFT Re: -257863.00; 102815.00; -64043.00; 48516.00; 59599.00; -4223.00; -43441.00; 23559.00; -24518.00; FFT Img: 481910.00; -14891.00; 69871.00; -7130.00; 43860.00; 34204.00; 55951.00; -6945.00; 26131.00; UTC Time: 2016-10-4 16:47:50; hz: 49.87; WiFi Strength: -62; Dummy: 20
Device: ID=11; Fw=16071801; Evt=2; Alarms: CoilRevesed=OFF; Power: Active=275W; Reactive=276var; Appearent=402VA; Line: Current=1.82A; Voltage=222.70V; Phase=-43,841rad; Peaks: 1058.000; 1051.000; 1049.000; 1041.000; 1060.000; 1054.000; 1047.000; 1051.000; 1059.000; 1057.000; FFT Re: -257863.00; 102815.00; -64043.00; 48516.00; 59599.00; -4223.00; -43441.00; 23559.00; -24518.00; FFT Img: 481910.00; -14891.00; 69871.00; -7130.00; 43860.00; 34204.00; 55951.00; -6945.00; 26131.00; UTC Time: 2016-10-4 16:47:50; hz: 49.87; WiFi Strength: -62; Dummy: 20
Device: ID=12; Fw=16071801; Evt=2; Alarms: CoilRevesed=OFF; Power: Active=268W; Reactive=273var; Appearent=409VA; Line: Current=1.86A; Voltage=222.96V; Phase=-43,841rad; Peaks: 1047.000; 1049.000; 1059.000; 1060.000; 1057.000; 1058.000; 1041.000; 1051.000; 1051.000; 1054.000; FFT Re: -257863.00; 102815.00; -64043.00; 48516.00; 59599.00; -4223.00; -43441.00; 23559.00; -24518.00; FFT Img: 481910.00; -14891.00; 69871.00; -7130.00; 43860.00; 34204.00; 55951.00; -6945.00; 26131.00; UTC Time: 2016-10-4 16:47:50; hz: 49.87; WiFi Strength: -62; Dummy: 20
